01,73549621069,736163994908,736164067811
02,71196192046,733965907335,733965953154
02,76678979598,733973456315,733973524311
02,74293855843,735009712514,735009781121
02,77277412863,733721196765,733721271693
02,78729295716,735128268847,735128346050
01,77143869796,735981892423,735981966440
02,71196192046,734231981804,734232046629
02,77676513156,734974941964,734974994623
02,73549621069,736160260965,736160310305
02,70450277608,735585663929,735585732759
01,76800690736,735657575802,735657664887
01,79060728158,734622015649,734622080057
01,78501253573,735174320303,735174385668
02,71523577650,733755588403,733755653221
02,70778196241,735607363668,735607422532
