02,75393794231,364984485814,364984561270
02,73357334914,362863151984,362863227636
02,76666570259,364217514621,364217578670
01,73834836658,363464271120,363464343512
02,73364056802,365090387119,365090465631
02,79173333158,364851880799,364851939501
02,76666570259,363517353217,363517424067
02,77055491216,364793681865,364793757391
01,75825387319,363745241815,363745294063
01,75461263651,363667284210,363667345072
01,78231053965,365054269448,365054331311
02,75527959503,364409902799,364409954956
02,74231160282,363547089264,363547156453
01,74831506069,363820386291,363820449302
01,77812594022,363606470639,363606533454
02,71603089512,364673115339,364673204103
02,70210694688,363749113799,363749173637
02,76666570259,364262945359,364263010587
02,75527959503,364111598081,364111656435
01,75223805077,364746856033,364746921359
01,71414267421,363868319874,363868393130
01,79603290786,363557037248,363557098612
01,75527959503,363264060747,363264132236
01,78731026887,363317713757,363317778872
02,74484779673,365059753812,365059830022
02,75331088869,363800809995,363800882065
02,71432059796,362800616760,362800684248
02,70210694688,364400424502,364400474630
02,74777351227,364218747146,364218818452
02,70097280301,363979206602,363979278957
01,72816239088,363028737936,363028782357
01,77812594022,365180293275,365180350893
02,77812594022,363008519023,363008598787
01,76024909867,365261279467,365261342203
02,75708242708,363581414480,363581472819
01,79636031161,364889445110,364889498411
01,79603290786,363437267447,363437338558
02,74777351227,364607358858,364607422544
01,76940351899,365319146158,365319213779
02,79251694480,363685327679,363685403552
01,78176367070,363276168145,363276225525
02,74484779673,364913572733,364913645537
02,78435614275,363837469665,363837539387
02,74122230721,364229536166,364229592339
01,77716096257,364892373744,364892442115
01,79057785978,364272741757,364272821357
02,78484289695,364688566746,364688648251
02,70162987746,364874217349,364874281144
02,77135085626,363355099745,363355165560
02,74777351227,364582398483,364582473412
02,70760014394,362833334327,362833393170
01,75979226137,364499961583,364500025902
02,79930059730,362833393351,362833464148
02,72288017175,363809380260,363809446734
02,73834836658,363170661630,363170748090
01,74081869316,365054466817,365054546143
02,78435614275,364102166992,364102232863
01,71285407963,363531870533,363531945913
02,77055491216,363866698934,363866786663
02,72288017175,362907639954,362907708056
01,74231160282,363318591984,363318671426
02,75393794231,363718957590,363719028842
01,73902704414,364170678274,364170749116
01,74484779673,365019175003,365019241358
02,75393794231,364264558112,364264642474
01,71390901921,363932872646,363932933755
02,70126179861,364480884647,364480947030
01,71285407963,363361694374,363361773458
01,74831506069,363233621611,363233698331
02,71432059796,363176340123,363176417259
02,72588692755,364296081803,364296161719
01,72010276439,362896611977,362896681287
01,79542942984,363101021776,363101091394
02,77029075037,363010453723,363010522598
02,73177270812,364592195321,364592256808
02,75527959503,365156640434,365156710579
02,76875122948,364843545885,364843613827
02,74831506069,363076871592,363076940192
01,75331088869,363532717025,363532775984
02,78618721995,365051236671,365051295761
02,74906819266,362797655887,362797717846
01,74831506069,362796992263,362797063499
01,71414267421,364467390109,364467460859
01,78484289695,364365320551,364365396434
01,75223805077,364510105535,364510161162
01,75047325708,363696637629,363696690316
02,76666570259,364131644370,364131711558
02,72816239088,363491187480,363491244723
01,79166486321,364451712155,364451775670
01,73902704414,363965140718,363965200368
01,70830782443,363135758428,363135839332
01,73357334914,364406207860,364406281087
02,74231160282,364482794569,364482856706
02,70162987746,363928678508,363928731840
